electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.0869,-2e-05,0.062,0.0869
0.00352,0.0005,0.01113,0.0869
0.03793,0.00042,0.15884,0.02008
0.0217,0.0,0.12666,0.02008
0.02008,-0.0001,0.08536,0.02008
0.0,0.0001,0.02016,0.02008
0.00496,0.00103,0.1284,2e-05
0.0002,0.0,0.10494,2e-05
2e-05,-2e-05,0.06353,2e-05
-0.00101,0.0001,0.01858,2e-05
0.00143,0.0036,0.10425,0.0
0.0,0.0,0.09733,0.0
0.0,-2e-05,0.05,0.0
0.00087,0.0001,0.01113,0.0
0.0,0.0122,0.099,0.0
2e-05,2e-05,0.05468,0.0
0.0,0.0,0.0208,0.0
0.0011,2e-05,0.006,0.0
1e-05,0.065,0.0514,0.0
1e-05,0.027,0.0514,0.0
0.0,0.00352,0.0514,0.0
0.00087,0.0,0.0514,0.0
0.0001,0.16086,0.037,-2e-05
0.0,0.12522,0.037,-2e-05
-2e-05,0.062,0.037,-2e-05
0.0005,0.01113,0.037,-2e-05
0.00042,0.15884,0.02161,-0.0001
0.0,0.12666,0.02161,-0.0001
-0.0001,0.08536,0.02161,-0.0001
0.0001,0.02016,0.02161,-0.0001
0.00103,0.1284,0.0208,-2e-05
0.0,0.10494,0.0208,-2e-05
-2e-05,0.06353,0.0208,-2e-05
0.0001,0.01858,0.0208,-2e-05
0.0036,0.10425,0.0208,-2e-05
0.0,0.09733,0.0208,-2e-05
-2e-05,0.05,0.0208,-2e-05
0.0001,0.01113,0.0208,-2e-05
0.0122,0.099,0.0295,0.0
2e-05,0.05468,0.0295,0.0
0.0,0.0208,0.0295,0.0
2e-05,0.006,0.0295,0.0
0.065,0.0514,0.0514,0.00352
0.027,0.0514,0.0514,0.00352
0.00352,0.0514,0.0514,0.00352
0.0,0.0514,0.0514,0.00352
0.16086,0.037,0.0869,0.062
0.12522,0.037,0.0869,0.062
0.062,0.037,0.0869,0.062
0.01113,0.037,0.0869,0.062
0.15884,0.02161,0.02008,0.08536
0.12666,0.02161,0.02008,0.08536
0.08536,0.02161,0.02008,0.08536
0.02016,0.02161,0.02008,0.08536
0.1284,0.0208,2e-05,0.06353
0.10494,0.0208,2e-05,0.06353
0.06353,0.0208,2e-05,0.06353
0.01858,0.0208,2e-05,0.06353
0.10425,0.0208,0.0,0.05
0.09733,0.0208,0.0,0.05
0.05,0.0208,0.0,0.05
0.01113,0.0208,0.0,0.05
0.099,0.0295,0.0,0.0208
0.05468,0.0295,0.0,0.0208
0.0208,0.0295,0.0,0.0208
0.006,0.0295,0.0,0.0208
0.0514,0.0514,0.0,0.01329
0.0514,0.0514,0.0,0.01329
0.0514,0.0514,0.0,0.01329
0.0514,0.0514,0.0,0.01329
0.037,0.0869,-2e-05,0.01063
0.037,0.0869,-2e-05,0.01063
0.037,0.0869,-2e-05,0.01063
0.037,0.0869,-2e-05,0.01063
0.02161,0.02008,-0.0001,0.007
0.02161,0.02008,-0.0001,0.007
0.02161,0.02008,-0.0001,0.007
0.02161,0.02008,-0.0001,0.007
0.0208,2e-05,-2e-05,0.005
0.0208,2e-05,-2e-05,0.005
0.0208,2e-05,-2e-05,0.005
0.0208,2e-05,-2e-05,0.005
0.0208,0.0,-2e-05,0.00496
0.0208,0.0,-2e-05,0.00496
0.0208,0.0,-2e-05,0.00496
0.0208,0.0,-2e-05,0.00496
0.0295,0.0,0.0,0.00496
0.0295,0.0,0.0,0.00496
0.0295,0.0,0.0,0.00496
0.0295,0.0,0.0,0.00496
0.0514,0.0,0.00352,0.005
0.0514,0.0,0.00352,0.005
0.0514,0.0,0.00352,0.005
0.0514,0.0,0.00352,0.005
0.0869,-2e-05,0.062,0.00352
0.0869,-2e-05,0.062,0.00352
0.0869,-2e-05,0.062,0.00352
0.0869,-2e-05,0.062,0.00352
0.02008,-0.0001,0.08536,0.0
0.02008,-0.0001,0.08536,0.0
0.02008,-0.0001,0.08536,0.0
0.02008,-0.0001,0.08536,0.0
2e-05,-2e-05,0.06353,-0.00101
2e-05,-2e-05,0.06353,-0.00101
2e-05,-2e-05,0.06353,-0.00101
2e-05,-2e-05,0.06353,-0.00101
0.0,-2e-05,0.05,0.00087
0.0,-2e-05,0.05,0.00087
0.0,-2e-05,0.05,0.00087
0.0,-2e-05,0.05,0.00087
0.0,0.0,0.0208,0.0011
0.0,0.0,0.0208,0.0011
0.0,0.0,0.0208,0.0011
0.0,0.0,0.0208,0.0011
0.0,0.00352,0.01329,0.00087
0.0,0.00352,0.01329,0.00087
0.0,0.00352,0.01329,0.00087
0.0,0.00352,0.01329,0.00087
-2e-05,0.062,0.01063,0.0005
-2e-05,0.062,0.01063,0.0005
-2e-05,0.062,0.01063,0.0005
-2e-05,0.062,0.01063,0.0005
-0.0001,0.08536,0.007,0.0001
-0.0001,0.08536,0.007,0.0001
-0.0001,0.08536,0.007,0.0001
-0.0001,0.08536,0.007,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.05,0.00496,0.0001
-2e-05,0.05,0.00496,0.0001
-2e-05,0.05,0.00496,0.0001
-2e-05,0.05,0.00496,0.0001
0.0,0.0208,0.00496,2e-05
0.0,0.0208,0.00496,2e-05
0.0,0.0208,0.00496,2e-05
0.0,0.0208,0.00496,2e-05
0.00352,0.01329,0.005,0.0
0.00352,0.01329,0.005,0.0
0.00352,0.01329,0.005,0.0
0.00352,0.01329,0.005,0.0
0.062,0.01063,0.00352,0.01113
0.062,0.01063,0.00352,0.01113
0.062,0.01063,0.00352,0.01113
0.062,0.01063,0.00352,0.01113
0.08536,0.007,0.0,0.02016
0.08536,0.007,0.0,0.02016
0.08536,0.007,0.0,0.02016
0.08536,0.007,0.0,0.02016
0.06353,0.005,-0.00101,0.01858
0.06353,0.005,-0.00101,0.01858
0.06353,0.005,-0.00101,0.01858
0.06353,0.005,-0.00101,0.01858
0.05,0.00496,0.00087,0.01113
0.05,0.00496,0.00087,0.01113
0.05,0.00496,0.00087,0.01113
0.05,0.00496,0.00087,0.01113
0.0208,0.00496,0.0011,0.006
0.0208,0.00496,0.0011,0.006
0.0208,0.00496,0.0011,0.006
0.0208,0.00496,0.0011,0.006
0.01329,0.005,0.00087,0.0036
0.01329,0.005,0.00087,0.0036
0.01329,0.005,0.00087,0.0036
0.01329,0.005,0.00087,0.0036
0.01063,0.00352,0.0005,0.0032
0.01063,0.00352,0.0005,0.0032
0.01063,0.00352,0.0005,0.0032
0.01063,0.00352,0.0005,0.0032
0.007,0.0,0.0001,0.00065
0.007,0.0,0.0001,0.00065
0.007,0.0,0.0001,0.00065
0.007,0.0,0.0001,0.00065
0.005,-0.00101,0.0001,0.0001
0.005,-0.00101,0.0001,0.0001
0.005,-0.00101,0.0001,0.0001
0.005,-0.00101,0.0001,0.0001
0.00496,0.00087,0.0001,9e-05
0.00496,0.00087,0.0001,9e-05
0.00496,0.00087,0.0001,9e-05
0.00496,0.00087,0.0001,9e-05
0.00496,0.0011,2e-05,0.00017
0.00496,0.0011,2e-05,0.00017
0.00496,0.0011,2e-05,0.00017
0.00496,0.0011,2e-05,0.00017
0.005,0.00087,0.0,0.00013
0.005,0.00087,0.0,0.00013
0.005,0.00087,0.0,0.00013
0.005,0.00087,0.0,0.00013
0.00352,0.0005,0.01113,0.0
0.00352,0.0005,0.01113,0.0
0.00352,0.0005,0.01113,0.0
0.00352,0.0005,0.01113,0.0
0.0,0.0001,0.02016,-0.00153
0.0,0.0001,0.02016,-0.00153
0.0,0.0001,0.02016,-0.00153
0.0,0.0001,0.02016,-0.00153
-0.00101,0.0001,0.01858,-0.00231
-0.00101,0.0001,0.01858,-0.00231
-0.00101,0.0001,0.01858,-0.00231
-0.00101,0.0001,0.01858,-0.00231
0.00087,0.0001,0.01113,-0.0038
0.00087,0.0001,0.01113,-0.0038
0.00087,0.0001,0.01113,-0.0038
0.00087,0.0001,0.01113,-0.0038
0.0011,2e-05,0.006,-0.004
0.0011,2e-05,0.006,-0.004
0.0011,2e-05,0.006,-0.004
0.0011,2e-05,0.006,-0.004
0.00087,0.0,0.0036,-0.00343
0.00087,0.0,0.0036,-0.00343
0.00087,0.0,0.0036,-0.00343
0.00087,0.0,0.0036,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0001,0.02016,0.00065,-0.00203
0.0001,0.02016,0.00065,-0.00203
0.0001,0.02016,0.00065,-0.00203
0.0001,0.02016,0.00065,-0.00203
0.0001,0.01858,0.0001,-0.002
0.0001,0.01858,0.0001,-0.002
0.0001,0.01858,0.0001,-0.002
0.0001,0.01858,0.0001,-0.002
0.0001,0.01113,9e-05,-0.00151
0.0001,0.01113,9e-05,-0.00151
0.0001,0.01113,9e-05,-0.00151
0.0001,0.01113,9e-05,-0.00151
2e-05,0.006,0.00017,-0.00151
2e-05,0.006,0.00017,-0.00151
2e-05,0.006,0.00017,-0.00151
2e-05,0.006,0.00017,-0.00151
0.0,0.0036,0.00013,2e-05
0.0,0.0036,0.00013,2e-05
0.0,0.0036,0.00013,2e-05
0.0,0.0036,0.00013,2e-05
0.01113,0.0032,0.0,0.02546
0.01113,0.0032,0.0,0.02546
0.01113,0.0032,0.0,0.02546
0.01113,0.0032,0.0,0.02546
0.02016,0.00065,-0.00153,0.03501
0.02016,0.00065,-0.00153,0.03501
0.02016,0.00065,-0.00153,0.03501
0.02016,0.00065,-0.00153,0.03501
0.01858,0.0001,-0.00231,0.02563
0.01858,0.0001,-0.00231,0.02563
0.01858,0.0001,-0.00231,0.02563
0.01858,0.0001,-0.00231,0.02563
0.01113,9e-05,-0.0038,0.01063
0.01113,9e-05,-0.0038,0.01063
0.01113,9e-05,-0.0038,0.01063
0.01113,9e-05,-0.0038,0.01063
0.006,0.00017,-0.004,0.00065
