month,minutes,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
4,15,10,5,True,0,0,0,0.1736,0,0,0,0
4,30,10,5,True,0,0,0,0.1614,0,0,0,0
4,45,10,5,True,0,0,0,0.2393,0,0,0,0
4,0,11,5,True,0,0,0,0.26539999999999997,0,0,0,0
4,15,11,5,True,0,0,0,0.2117,0,0,0,0
4,30,11,5,True,0,0,0,0.35240000000000005,0,0,0,0
4,45,11,5,True,0,0,0,0.64,0,0,0,0
4,0,12,5,True,0,0,0,0.3756,0,0,0,0
4,15,12,5,True,0,0,0,0.1671,0,0,0,0
4,30,12,5,True,0,0,0,0.1762,0,0,0,0
4,45,12,5,True,0,0,0,0.2029,0,0,0,0
4,0,13,5,True,0,0,0,0.1557,0,0,0,0
4,15,13,5,True,0,0,0,0.0739,0,0,0,0
4,30,13,5,True,0,0,0,0.052500000000000005,0,0,0,0
4,45,13,5,True,0,0,0,0.0002,0,0,0,0
4,0,14,5,True,0,0,0,0.0006,0,0,0,0
4,15,14,5,True,0,0,0,0.0015,0,0,0,0
4,30,14,5,True,0,0,0,0.0031000000000000003,0,0,0,0
4,45,14,5,True,0,0,0,0.0031000000000000003,0,0,0,0
4,0,15,5,True,0,0,0,0.006,0,0,0,0
4,15,15,5,True,0,0,0,0.0,0,0,0,0
4,30,15,5,True,0,0,0,0.0,0,0,0,0
4,45,15,5,True,0,0,0,0.0014999999999999998,0,0,0,0
4,0,16,5,True,0,0,0,0.0012,0,0,0,0
4,15,16,5,True,0,0,0,0.0006,0,0,0,0
4,30,16,5,True,0,0,0,0.0,0,0,0,0
4,45,16,5,True,0,0,0,0.0,0,0,0,0
4,0,17,5,True,0,0,0,0.0,0,0,0,0
4,15,17,5,True,0,0,0,0.0,0,0,0,0
4,30,17,5,True,0,0,0,0.0,0,0,0,0
4,45,17,5,True,0,0,0,0.0013,0,0,0,0
4,0,18,5,True,0,0,0,0.0011,0,0,0,0
4,15,18,5,True,0,0,0,0.0138,0,0,0,0
4,30,18,5,True,0,0,0,0.0303,0,0,0,0
4,45,18,5,True,0,0,0,0.0402,0,0,0,0
4,0,19,5,True,0,0,0,0.041,0,0,0,0
4,15,19,5,True,0,0,0,0.0355,0,0,0,0
4,30,19,5,True,0,0,0,0.033299999999999996,0,0,0,0
4,45,19,5,True,0,0,0,0.0451,0,0,0,0
4,0,20,5,True,0,0,0,0.0431,0,0,0,0
4,15,20,5,True,0,0,0,0.0401,0,0,0,0
4,30,20,5,True,0,0,0,0.035500000000000004,0,0,0,0
4,45,20,5,True,0,0,0,0.0377,0,0,0,0
4,0,21,5,True,0,0,0,0.0451,0,0,0,0
4,15,21,5,True,0,0,0,0.0405,0,0,0,0
4,30,21,5,True,0,0,0,0.0402,0,0,0,0
4,45,21,5,True,0,0,0,0.035500000000000004,0,0,0,0
4,0,22,5,True,0,0,0,0.0406,0,0,0,0
4,15,22,5,True,0,0,0,0.0414,0,0,0,0
4,30,22,5,True,0,0,0,0.0403,0,0,0,0
4,45,22,5,True,0,0,0,0.0404,0,0,0,0
4,0,23,5,True,0,0,0,0.0679,0,0,0,0
4,15,23,5,True,0,0,0,0.0637,0,0,0,0
4,30,23,5,True,0,0,0,0.0556,0,0,0,0
4,45,23,5,True,0,0,0,0.0634,0,0,0,0
4,0,0,6,True,0,0,0,0.061,0,0,0,0
4,15,0,6,True,0,0,0,0.0419,0,0,0,0
4,30,0,6,True,0,0,0,0.035,0,0,0,0
4,45,0,6,True,0,0,0,0.0353,0,0,0,0
4,0,1,6,True,0,0,0,0.0352,0,0,0,0
4,15,1,6,True,0,0,0,0.0352,0,0,0,0
4,30,1,6,True,0,0,0,0.0265,0,0,0,0
4,45,1,6,True,0,0,0,0.0322,0,0,0,0
4,0,2,6,True,0,0,0,0.0319,0,0,0,0
4,15,2,6,True,0,0,0,0.0367,0,0,0,0
4,30,2,6,True,0,0,0,0.03,0,0,0,0
4,45,2,6,True,0,0,0,0.0265,0,0,0,0
4,0,3,6,True,0,0,0,0.032799999999999996,0,0,0,0
4,15,3,6,True,0,0,0,0.0347,0,0,0,0
4,30,3,6,True,0,0,0,0.037000000000000005,0,0,0,0
4,45,3,6,True,0,0,0,0.0254,0,0,0,0
4,0,4,6,True,0,0,0,0.0281,0,0,0,0
4,15,4,6,True,0,0,0,0.033,0,0,0,0
4,30,4,6,True,0,0,0,0.0374,0,0,0,0
4,45,4,6,True,0,0,0,0.032600000000000004,0,0,0,0
4,0,5,6,True,0,0,0,0.024399999999999998,0,0,0,0
4,15,5,6,True,0,0,0,0.0303,0,0,0,0
4,30,5,6,True,0,0,0,0.036,0,0,0,0
4,45,5,6,True,0,0,0,0.0352,0,0,0,0
4,0,6,6,True,0,0,0,0.028499999999999998,0,0,0,0
4,15,6,6,True,0,0,0,0.0232,0,0,0,0
4,30,6,6,True,0,0,0,0.0328,0,0,0,0
4,45,6,6,True,0,0,0,0.032600000000000004,0,0,0,0
4,0,7,6,True,0,0,0,0.021400000000000002,0,0,0,0
4,15,7,6,True,0,0,0,0.016,0,0,0,0
4,30,7,6,True,0,0,0,0.013600000000000001,0,0,0,0
4,45,7,6,True,0,0,0,0.0113,0,0,0,0
4,0,8,6,True,0,0,0,0.0007,0,0,0,0
4,15,8,6,True,0,0,0,0.0,0,0,0,0
4,30,8,6,True,0,0,0,0.0086,0,0,0,0
4,45,8,6,True,0,0,0,0.12490000000000001,0,0,0,0
4,0,9,6,True,0,0,0,0.010499999999999999,0,0,0,0
4,15,9,6,True,0,0,0,0.0158,0,0,0,0
4,30,9,6,True,0,0,0,0.0193,0,0,0,0
4,45,9,6,True,0,0,0,0.2183,0,0,0,0
4,0,10,6,True,0,0,0,0.1134,0,0,0,0
4,15,10,6,True,0,0,0,0.2538,0,0,0,0
4,30,10,6,True,0,0,0,0.2062,0,0,0,0
4,45,10,6,True,0,0,0,0.1976,0,0,0,0
4,0,11,6,True,0,0,0,0.1316,0,0,0,0
4,15,11,6,True,0,0,0,0.15710000000000002,0,0,0,0
4,30,11,6,True,0,0,0,0.0942,0,0,0,0
4,45,11,6,True,0,0,0,0.0356,0,0,0,0
4,0,12,6,True,0,0,0,0.39160000000000006,0,0,0,0
4,15,12,6,True,0,0,0,0.3988,0,0,0,0
4,30,12,6,True,0,0,0,0.1847,0,0,0,0
4,45,12,6,True,0,0,0,0.15839999999999999,0,0,0,0
4,0,13,6,True,0,0,0,0.1357,0,0,0,0
4,15,13,6,True,0,0,0,0.13319999999999999,0,0,0,0
4,30,13,6,True,0,0,0,0.1351,0,0,0,0
4,45,13,6,True,0,0,0,0.0733,0,0,0,0
4,0,14,6,True,0,0,0,0.051500000000000004,0,0,0,0
4,15,14,6,True,0,0,0,0.060200000000000004,0,0,0,0
4,30,14,6,True,0,0,0,0.10049999999999999,0,0,0,0
4,45,14,6,True,0,0,0,0.2266,0,0,0,0
4,0,15,6,True,0,0,0,0.1391,0,0,0,0
