electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.149,0.109,0.139,0.15
0.156,0.106,0.146,0.163
0.16,0.111,0.131,0.163
0.138,0.111,0.11,0.141
0.133,0.122,0.099,0.135
0.122,0.13,0.098,0.122
0.109,0.139,0.098,0.121
0.106,0.146,0.098,0.116
0.111,0.131,0.098,0.114
0.111,0.11,0.104,0.103
0.122,0.099,0.122,0.104
0.13,0.098,0.135,0.119
0.139,0.098,0.15,0.133
0.146,0.098,0.163,0.14
0.131,0.098,0.163,0.128
0.11,0.104,0.141,0.102
0.099,0.122,0.135,0.093
0.098,0.135,0.122,0.092
0.098,0.15,0.121,0.09
0.098,0.163,0.116,0.082
0.098,0.163,0.114,0.089
0.104,0.141,0.103,0.087
0.122,0.135,0.104,0.089
0.135,0.122,0.119,0.11
0.15,0.121,0.133,0.133
0.163,0.116,0.14,0.17
0.163,0.114,0.128,0.164
0.141,0.103,0.102,0.136
0.135,0.104,0.093,0.133
0.122,0.119,0.092,0.115
0.121,0.133,0.09,0.117
0.116,0.14,0.082,0.118
0.114,0.128,0.089,0.115
0.103,0.102,0.087,0.113
0.104,0.093,0.089,0.118
0.119,0.092,0.11,0.123
0.133,0.09,0.133,0.13
0.14,0.082,0.17,0.133
0.128,0.089,0.164,0.128
0.102,0.087,0.136,0.093
0.093,0.089,0.133,0.093
0.092,0.11,0.115,0.093
0.09,0.133,0.117,0.092
0.082,0.17,0.118,0.092
0.089,0.164,0.115,0.092
0.087,0.136,0.113,0.093
0.089,0.133,0.118,0.097
0.11,0.115,0.123,0.119
0.133,0.117,0.13,0.133
0.17,0.118,0.133,0.147
0.164,0.115,0.128,0.147
0.136,0.113,0.093,0.13
0.133,0.118,0.093,0.122
0.115,0.123,0.093,0.115
0.117,0.13,0.092,0.12
0.118,0.133,0.092,0.121
0.115,0.128,0.092,0.126
0.113,0.093,0.093,0.127
0.118,0.093,0.097,0.118
0.123,0.093,0.119,0.128
0.13,0.092,0.133,0.135
