2025-02-21 16:24:37 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=33711 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349196d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:25:55 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29851 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f573491a5d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:25:55 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=31093 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349aa350>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:25:59 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=30688 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349a9bd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:25:59 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=28387 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349a9f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:25:59 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29660 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349aa210>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:26:27 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:27:10 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:28:54 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:29:54 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:30:53 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:31:54 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:32:57 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:33:57 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:34:53 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-21 16:35:53 | WARNING | CWReceiver: Error getting data from tag 30688: 404
2025-02-25 16:04:13 | WARNING | CWReceiver: Error getting data from tag 30688: 404
